222,0.0012,0.0012,0.0012,0.0012,0.0012,0.0013,0.0013,0.0013,0.0012,0.0015,0.0015,0.0012
225,0.0012,0.0013,0.0012,0.0013,0.0012,0.0013,0.0013,0.0014,0.0013,0.0015,0.0015,0.0012
228,0.0012,0.0013,0.0012,0.0013,0.0013,0.0014,0.0013,0.0014,0.0013,0.0016,0.0016,0.0012
231,0.0013,0.0013,0.0012,0.0013,0.0013,0.0014,0.0014,0.0015,0.0013,0.0016,0.0016,0.0012
234,0.0013,0.0013,0.0012,0.0013,0.0013,0.0014,0.0014,0.0015,0.0013,0.0017,0.0017,0.0012
237,0.0013,0.0013,0.0013,0.0013,0.0013,0.0015,0.0014,0.0015,0.0013,0.0018,0.0017,0.0013
240,0.0013,0.0014,0.0013,0.0014,0.0013,0.0015,0.0014,0.0016,0.0014,0.0018,0.0018,0.0013
243,0.0013,0.0014,0.0013,0.0014,0.0014,0.0015,0.0015,0.0017,0.0014,0.0019,0.0018,0.0013
246,0.0013,0.0014,0.0013,0.0014,0.0014,0.0016,0.0015,0.0017,0.0014,0.002,0.0019,0.0013
249,0.0014,0.0014,0.0014,0.0014,0.0014,0.0016,0.0015,0.0018,0.0014,0.0021,0.0019,0.0014
252,0.0014,0.0014,0.0014,0.0015,0.0014,0.0016,0.0015,0.0018,0.0015,0.0021,0.002,0.0014
255,0.0014,0.0014,0.0014,0.0015,0.0014,0.0017,0.0015,0.0019,0.0015,0.0022,0.002,0.0014
258,0.0014,0.0015,0.0014,0.0015,0.0015,0.0017,0.0016,0.002,0.0015,0.0023,0.0021,0.0014
261,0.0014,0.0015,0.0014,0.0015,0.0015,0.0018,0.0016,0.0021,0.0015,0.0024,0.0021,0.0014
264,0.0015,0.0015,0.0015,0.0015,0.0015,0.0018,0.0016,0.0021,0.0016,0.0025,0.0022,0.0015
267,0.0015,0.0015,0.0015,0.0016,0.0015,0.0019,0.0016,0.0022,0.0016,0.0026,0.0023,0.0015
270,0.0015,0.0015,0.0015,0.0016,0.0016,0.0019,0.0017,0.0023,0.0016,0.0027,0.0023,0.0015
273,0.0015,0.0016,0.0016,0.0016,0.0016,0.002,0.0017,0.0024,0.0016,0.0028,0.0024,0.0016
276,0.0015,0.0016,0.0016,0.0016,0.0016,0.0021,0.0017,0.0025,0.0017,0.003,0.0025,0.0016
279,0.0015,0.0016,0.0016,0.0017,0.0016,0.0021,0.0017,0.0026,0.0017,0.0031,0.0026,0.0016
282,0.0016,0.0016,0.0016,0.0017,0.0017,0.0022,0.0018,0.0028,0.0017,0.0033,0.0027,0.0016
285,0.0016,0.0016,0.0017,0.0017,0.0017,0.0023,0.0018,0.0029,0.0018,0.0034,0.0027,0.0017
288,0.0016,0.0017,0.0017,0.0017,0.0017,0.0023,0.0018,0.003,0.0018,0.0036,0.0028,0.0017
291,0.0016,0.0017,0.0017,0.0018,0.0018,0.0024,0.0019,0.0032,0.0018,0.0037,0.0029,0.0017
294,0.0016,0.0017,0.0018,0.0018,0.0018,0.0025,0.0019,0.0033,0.0019,0.0039,0.003,0.0018
297,0.0017,0.0017,0.0018,0.0018,0.0018,0.0026,0.0019,0.0035,0.0019,0.0041,0.0031,0.0018
300,0.0017,0.0018,0.0018,0.0019,0.0018,0.0027,0.0019,0.0037,0.0019,0.0043,0.0032,0.0018
303,0.0017,0.0018,0.0019,0.0019,0.0019,0.0028,0.002,0.0039,0.002,0.0046,0.0033,0.0019
306,0.0017,0.0018,0.0019,0.0019,0.0019,0.0029,0.002,0.0041,0.002,0.0049,0.0034,0.0019
309,0.0017,0.0018,0.0019,0.0019,0.0019,0.003,0.002,0.0043,0.0021,0.0052,0.0035,0.0019
312,0.0018,0.0018,0.002,0.002,0.002,0.0031,0.0021,0.0046,0.0021,0.0056,0.0036,0.002
315,0.0018,0.0019,0.002,0.002,0.002,0.0032,0.0021,0.0048,0.0021,0.006,0.0038,0.002
318,0.0018,0.0019,0.0021,0.002,0.002,0.0033,0.0021,0.0051,0.0022,0.0065,0.0039,0.0021
321,0.0018,0.0019,0.0021,0.0021,0.0021,0.0034,0.0022,0.0055,0.0022,0.007,0.004,0.0021
324,0.0018,0.0019,0.0022,0.0021,0.0021,0.0036,0.0022,0.0059,0.0023,0.0076,0.0042,0.0022
327,0.0019,0.002,0.0022,0.0021,0.0021,0.0037,0.0022,0.0063,0.0023,0.0082,0.0044,0.0022
330,0.0019,0.002,0.0023,0.0022,0.0022,0.0039,0.0023,0.0067,0.0024,0.0089,0.0046,0.0023
333,0.0019,0.002,0.0023,0.0022,0.0022,0.004,0.0023,0.0073,0.0024,0.0097,0.0049,0.0023
336,0.0019,0.002,0.0024,0.0022,0.0022,0.0042,0.0023,0.0078,0.0025,0.0105,0.0051,0.0024
339,0.0019,0.0021,0.0024,0.0023,0.0023,0.0044,0.0024,0.0084,0.0025,0.0114,0.0055,0.0024
342,0.002,0.0021,0.0025,0.0023,0.0023,0.0046,0.0024,0.0091,0.0026,0.0123,0.0058,0.0025
345,0.002,0.0021,0.0025,0.0023,0.0024,0.0048,0.0024,0.0098,0.0026,0.0134,0.0063,0.0025
348,0.002,0.0021,0.0026,0.0024,0.0024,0.0051,0.0025,0.0106,0.0027,0.0144,0.0067,0.0026
351,0.002,0.0022,0.0026,0.0024,0.0024,0.0053,0.0025,0.0114,0.0028,0.0156,0.0072,0.0026
354,0.0021,0.0022,0.0027,0.0024,0.0025,0.0057,0.0026,0.0124,0.0028,0.0169,0.0078,0.0027
357,0.0021,0.0022,0.0028,0.0025,0.0025,0.0061,0.0026,0.0133,0.0029,0.0182,0.0085,0.0028
360,0.0021,0.0022,0.0028,0.0025,0.0026,0.0065,0.0026,0.0144,0.0029,0.0196,0.0092,0.0028
363,0.0021,0.0023,0.0029,0.0025,0.0026,0.007,0.0027,0.0155,0.003,0.0211,0.0099,0.0029
366,0.0021,0.0023,0.003,0.0026,0.0027,0.0075,0.0027,0.0167,0.0031,0.0227,0.0108,0.003
369,0.0022,0.0023,0.0031,0.0026,0.0027,0.0081,0.0028,0.0179,0.0032,0.0243,0.0117,0.0031
372,0.0022,0.0024,0.0031,0.0027,0.0028,0.0087,0.0028,0.0193,0.0032,0.0261,0.0127,0.0031
375,0.0022,0.0024,0.0032,0.0027,0.0028,0.0095,0.0029,0.0207,0.0033,0.028,0.0138,0.0032
378,0.0022,0.0024,0.0033,0.0027,0.0029,0.0103,0.0029,0.0222,0.0034,0.0299,0.0149,0.0033
381,0.0023,0.0025,0.0034,0.0028,0.0029,0.0112,0.0029,0.0237,0.0035,0.0319,0.0161,0.0034
384,0.0023,0.0025,0.0035,0.0028,0.003,0.0121,0.003,0.0254,0.0036,0.0341,0.0174,0.0035
387,0.0023,0.0025,0.0036,0.0029,0.003,0.0132,0.003,0.0271,0.0036,0.0363,0.0189,0.0036
390,0.0023,0.0025,0.0037,0.0029,0.0031,0.0143,0.0031,0.0289,0.0037,0.0386,0.0204,0.0037
393,0.0024,0.0026,0.0038,0.003,0.0031,0.0155,0.0031,0.0309,0.0038,0.0411,0.0219,0.0038
396,0.0024,0.0026,0.0039,0.003,0.0032,0.0168,0.0032,0.0329,0.0039,0.0436,0.0236,0.0039
399,0.0024,0.0026,0.004,0.0031,0.0032,0.0182,0.0032,0.035,0.004,0.0463,0.0254,0.004
402,0.0024,0.0027,0.0041,0.0031,0.0033,0.0198,0.0033,0.0372,0.0041,0.049,0.0273,0.0041
405,0.0025,0.0027,0.0042,0.0032,0.0034,0.0214,0.0034,0.0395,0.0042,0.0519,0.0293,0.0042
408,0.0025,0.0028,0.0043,0.0032,0.0034,0.0231,0.0034,0.0419,0.0043,0.0549,0.0314,0.0043
411,0.0025,0.0028,0.0045,0.0033,0.0035,0.025,0.0035,0.0444,0.0044,0.058,0.0336,0.0045
414,0.0025,0.0028,0.0046,0.0033,0.0035,0.0269,0.0035,0.0469,0.0046,0.0612,0.0359,0.0046
